#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
6073	 62.02242486217	+54.30639341759	 276079127699346816	                                	          	14.10	      	      	      	 2.203	 9.32	               	 0.548	5p	 61	9	 0.080	 1.244	 0.073	 0.119	 0.073	 0.096	 0.00e+00	   5.5	 7.9	 1.72	 16.02	                 	0	0
6074	329.86378327523	-28.87351425331	6617646065913407360	                                	          	14.10	      	      	      	 2.142	 9.76	               	 0.529	5p	 56	9	 0.038	 1.115	 0.073	 0.119	 0.077	 0.066	 3.90e-03	   2.9	 5.1	 1.70	 16.58	                 	0	0
6075	 81.68694026230	-36.58688983071	4821555231661049472	                                	          	14.10	      	      	      	 2.034	 6.27	               	 0.608	5p	 45	9	 0.073	 1.196	 0.073	 0.119	 0.075	 0.087	 3.00e-05	   4.2	11.5	 1.78	 11.15	                 	0	0
6076	171.74345179717	+51.30456943833	 838465203448798208	UCAC4 707-050129                	          	14.10	 14.74	 11.28	 1.215	 1.725	 5.75	               	 0.645	5p	 64	9	 0.000	 1.087	 0.073	 0.119	 0.080	 0.063	 4.60e-03	   2.8	 9.5	 1.81	 10.44	                 	0	0
6077	294.30265023789	-23.03467375321	6768756656207709568	                                	          	14.10	      	      	      	 2.537	 8.44	               	 0.600	5p	 18	8	 0.030	 1.204	 0.076	 0.118	 0.076	 0.090	 6.10e-03	   2.7	 8.7	 1.77	 14.95	                 	0	0
6078	343.95230703161	+10.83937663563	2718122112572923136	                                	          	14.10	      	      	      	 2.063	 7.52	               	 0.599	5p	 23	9	 0.078	 1.199	 0.073	 0.119	 0.076	 0.091	 1.00e-03	   3.3	 9.9	 1.77	 13.31	                 	0	0
6079	 75.33457080738	-29.37775861391	4876927839825680128	                                	          	14.10	      	      	      	 1.688	 4.61	               	 0.695	5p	 50	9	 0.041	 1.124	 0.074	 0.119	 0.073	 0.067	 5.30e-03	   2.8	13.1	 1.86	  8.58	                 	0	0
6080	137.64350392451	 +7.08467909567	 583964270623874688	                                	          	14.10	      	      	      	 1.728	 5.58	               	 0.671	5p	 30	9	 0.059	 1.143	 0.073	 0.119	 0.077	 0.079	 3.20e-03	   3.0	12.5	 1.84	 10.27	                 	0	0
6081	208.84072398660	+31.26937103656	1457088447105534336	                                	          	14.10	      	      	      	 2.258	10.08	               	 0.527	5p	 46	9	 0.060	 1.140	 0.073	 0.119	 0.080	 0.077	 8.00e-04	   3.4	 5.7	 1.70	 17.10	                 	0	0
6082	123.06496100515	-23.09807892182	5699699404582265472	                                	          	14.10	      	      	      	 1.669	 4.62	               	 0.701	5p	 51	9	 0.000	 1.120	 0.074	 0.119	 0.072	 0.065	 6.90e-03	   2.7	12.8	 1.87	  8.62	                 	0	0
6083	316.99946023831	+34.00421082093	1867054684806562432	                                	          	14.10	      	      	      	 1.941	 7.19	               	 0.603	5p	 68	9	 0.114	 1.324	 0.073	 0.119	 0.072	 0.114	 0.00e+00	   7.8	13.0	 1.77	 12.76	                 	0	0
6084	 31.10420526530	+32.86026159514	 325761591386212992	                                	          	14.10	      	      	      	 2.009	 8.06	               	 0.584	5p	 16	9	 0.075	 1.268	 0.073	 0.119	 0.069	 0.101	 8.50e-04	   3.3	10.1	 1.76	 14.14	                 	0	0
6085	190.24579307403	+46.98298179093	1542928797358373248	UCAC4 685-053344                	          	14.10	      	 11.33	      	 1.690	 4.91	M0.9           	 0.702	5p	101	9	 0.037	 1.097	 0.074	 0.119	 0.077	 0.063	 7.10e-04	   3.4	11.6	 1.87	  9.16	                 	0	0
6086	125.00059390620	-34.41927606470	5543365167687817344	                                	          	14.10	      	      	      	 1.639	 5.08	               	 0.665	5p	 46	9	 0.056	 1.161	 0.074	 0.119	 0.071	 0.077	 8.00e-04	   3.4	13.3	 1.83	  9.32	                 	0	0
6087	206.77844052115	+41.64438320058	1500397694728616960	UCAC4 659-056074                	          	14.10	 14.94	 10.97	 1.503	 2.062	 8.89	M2.5           	 0.539	5p	 70	9	 0.055	 1.196	 0.073	 0.119	 0.078	 0.090	 0.00e+00	   5.3	 7.7	 1.71	 15.19	                 	0	0
6088	201.39470956705	 +2.29915904503	3712310868689322880	                                	          	14.11	      	      	      	 2.268	10.68	               	 0.515	5p	 35	9	 0.062	 1.173	 0.073	 0.119	 0.081	 0.088	 2.20e-04	   3.7	 6.1	 1.68	 17.97	                 	0	0
6089	235.72584471918	-46.92951956304	5986399084444006528	                                	          	14.11	      	      	      	 2.248	 7.96	               	 0.585	5p	 42	9	 0.045	 1.162	 0.073	 0.119	 0.077	 0.080	 6.10e-04	   3.4	 8.1	 1.76	 13.99	                 	0	0
6090	 83.77480080710	+53.41538843773	 264627851530119040	                                	          	14.11	      	      	      	 2.536	 8.51	               	 0.599	5p	 45	9	 0.067	 1.232	 0.076	 0.118	 0.074	 0.092	 1.00e-05	   4.4	 8.8	 1.77	 15.06	                 	0	0
6091	280.03449346472	+20.49595982953	4524972763335576576	                                	          	14.11	      	      	      	 2.550	 9.95	               	 0.560	5p	 91	9	 0.134	 1.437	 0.076	 0.118	 0.074	 0.135	 0.00e+00	9999.0	10.6	 1.73	 17.23	                 	0	0
6092	237.12667728483	 -9.05396538350	4347611367282871808	                                	          	14.11	      	      	      	 2.323	 9.55	               	 0.552	5p	 53	9	 0.063	 1.160	 0.074	 0.119	 0.073	 0.073	 9.90e-04	   3.3	 5.9	 1.72	 16.45	                 	0	0
6093	 35.82551066394	-18.02681057092	5131681252302848000	                                	          	14.11	      	      	      	 2.206	 7.91	               	 0.594	5p	 49	9	 0.068	 1.146	 0.073	 0.119	 0.079	 0.078	 4.40e-04	   3.5	 8.0	 1.77	 13.97	                 	0	0
6094	220.74185577340	-18.77432814725	6281924552743389440	                                	          	14.11	      	      	      	 2.296	 9.97	               	 0.532	5p	 21	9	 0.071	 1.235	 0.074	 0.119	 0.073	 0.096	 6.20e-04	   3.4	 7.3	 1.70	 16.96	                 	0	0
6095	199.56886835621	-42.45906034231	6136637903749323520	UCAC4 238-064551                	          	14.11	 15.18	 10.38	 1.454	 2.669	 7.91	               	 0.626	5p	 29	9	 0.071	 1.199	 0.079	 0.117	 0.073	 0.081	 4.10e-03	   2.9	 8.7	 1.80	 14.22	                 	0	0
6096	271.86262772189	 +1.08154283438	4275960798710117888	                                	          	14.11	      	      	      	 2.129	10.03	               	 0.512	5p	 42	9	 0.066	 1.177	 0.073	 0.120	 0.073	 0.080	 5.10e-04	   3.5	 5.9	 1.68	 16.84	                 	0	0
6097	 29.60271584164	+30.09322148589	 301038282162207872	                                	          	14.11	      	      	      	 1.941	 7.22	               	 0.607	5p	 17	9	 0.090	 1.261	 0.073	 0.119	 0.070	 0.101	 6.50e-04	   3.4	11.6	 1.78	 12.84	                 	0	0
6098	307.83067210652	-46.14091350780	6674745491451278080	                                	          	14.11	      	      	      	 2.049	 8.36	               	 0.550	5p	 39	9	 0.057	 1.148	 0.073	 0.120	 0.075	 0.075	 2.60e-03	   3.0	 6.9	 1.72	 14.39	                 	0	0
6099	208.81318500117	+38.12088288724	1496044693833966208	                                	          	14.11	      	      	      	 1.728	 5.26	               	 0.661	5p	 82	9	 0.036	 1.106	 0.073	 0.119	 0.078	 0.067	 6.20e-04	   3.4	11.1	 1.83	  9.62	                 	0	0
6100	219.40632410831	+58.71620077354	1617100095122216320	                                	          	14.11	      	      	      	 2.146	 9.42	               	 0.537	5p	 44	9	 0.034	 1.118	 0.073	 0.120	 0.079	 0.071	 4.00e-03	   2.9	 5.7	 1.71	 16.08	                 	0	0
6101	185.43511662998	+50.51155252720	1547640651358364544	                                	          	14.11	      	      	      	 1.872	 6.10	               	 0.640	5p	 84	9	 0.042	 1.111	 0.073	 0.119	 0.079	 0.069	 2.20e-04	   3.7	 9.7	 1.81	 11.03	                 	0	0
6102	 43.28401040804	+77.38814801142	 549374734326679296	                                	          	14.11	      	      	      	 1.820	 6.24	               	 0.647	5p	 45	9	 0.062	 1.168	 0.073	 0.119	 0.075	 0.082	 2.20e-04	   3.7	11.3	 1.82	 11.34	                 	0	0
6103	256.34808710490	 +3.35507789116	4391221503131526272	                                	          	14.11	      	      	      	 2.188	 9.44	               	 0.540	5p	 55	9	 0.024	 1.143	 0.073	 0.120	 0.073	 0.069	 2.50e-03	   3.0	 5.5	 1.71	 16.15	                 	0	0
6104	308.55437547022	-25.10274882896	6848432869391571456	                                	          	14.11	      	      	      	 2.145	 8.97	               	 0.550	5p	 37	9	 0.022	 1.145	 0.073	 0.120	 0.077	 0.076	 2.50e-03	   3.0	 6.6	 1.72	 15.43	                 	0	0
6105	191.48598677857	-34.51644371131	6158794128199460864	                                	          	14.11	      	      	      	 1.848	 6.31	               	 0.641	5p	 45	9	 0.056	 1.151	 0.073	 0.119	 0.074	 0.076	 1.10e-03	   3.3	10.3	 1.81	 11.43	                 	0	0
6106	206.63619242123	+49.96559847470	1558812754647741312	UCAC4 700-055059                	          	14.11	 15.09	 10.79	 1.527	 2.244	 9.46	               	 0.546	5p	 56	9	 0.000	 1.105	 0.073	 0.120	 0.080	 0.066	 4.70e-03	   2.8	 5.3	 1.72	 16.25	                 	0	0
6107	298.45752407911	-62.09457037612	6441268698419147904	                                	          	14.11	      	      	      	 2.338	 9.12	               	 0.550	5p	 61	9	 0.066	 1.241	 0.074	 0.119	 0.072	 0.094	 0.00e+00	   5.3	 7.9	 1.72	 15.68	                 	0	0
6108	  3.81635713317	-61.32510090342	4904884370366636544	UCAC4 144-000237                	          	14.11	      	 11.02	      	 2.007	 7.66	               	 0.594	5p	 42	9	 0.034	 1.157	 0.073	 0.120	 0.076	 0.079	 7.90e-04	   3.4	 8.3	 1.77	 13.53	                 	0	0
6109	122.30406192489	+15.54752868247	 654144104961541632	                                	          	14.11	      	      	      	 1.963	 7.36	               	 0.575	5p	 38	9	 0.054	 1.139	 0.073	 0.120	 0.076	 0.075	 3.10e-03	   3.0	 8.1	 1.75	 12.85	                 	0	0
6110	173.12618183028	+35.80062259426	 759656504935946752	2MASS J11323043+3548033         	          	14.11	      	 11.20	      	 1.823	 6.60	               	 0.619	5p	 30	9	 0.068	 1.179	 0.073	 0.119	 0.076	 0.087	 6.70e-04	   3.4	11.0	 1.79	 11.81	                 	0	0
6111	 41.64773515539	+47.00641178973	 437295844751897088	                                	          	14.11	      	      	      	 2.169	 8.45	               	 0.567	5p	 24	9	 0.076	 1.228	 0.073	 0.120	 0.071	 0.093	 6.30e-04	   3.4	 8.6	 1.74	 14.68	                 	0	0
6112	153.23016865764	-41.30410351985	5417154465613564800	                                	          	14.11	      	      	      	 2.140	 7.07	               	 0.600	5p	 63	9	 0.043	 1.159	 0.073	 0.120	 0.073	 0.074	 3.20e-04	   3.6	 8.5	 1.77	 12.52	                 	0	0
6113	129.20743244519	-63.10054127429	5276788371670711168	                                	          	14.11	      	      	      	 1.943	 6.03	               	 0.650	5p	 37	9	 0.055	 1.122	 0.073	 0.120	 0.078	 0.072	 6.10e-03	   2.7	10.3	 1.82	 10.97	                 	0	0
6114	 96.39549816707	-19.21815356608	2940119076501057536	                                	          	14.11	      	      	      	 2.189	 9.11	               	 0.552	5p	 66	9	 0.039	 1.133	 0.073	 0.120	 0.073	 0.066	 2.20e-03	   3.1	 5.6	 1.72	 15.70	                 	0	0
6115	185.74440307917	+78.69564451171	1717454896507473024	                                	          	14.12	      	      	      	 1.920	 7.77	               	 0.553	5p	 36	9	 0.069	 1.180	 0.073	 0.120	 0.080	 0.091	 7.00e-05	   4.0	 9.1	 1.72	 13.40	                 	0	0
6116	302.50808032463	 -6.23452157513	4217038623410248064	                                	          	14.12	      	      	      	 1.729	 4.85	               	 0.692	5p	 51	9	 0.054	 1.109	 0.073	 0.119	 0.077	 0.068	 4.40e-03	   2.8	12.6	 1.86	  9.00	                 	0	0
6117	 57.07962415497	+15.37032797341	  42938682140541952	                                	          	14.12	      	      	      	 1.890	 8.12	               	 0.542	5p	 32	9	 0.043	 1.158	 0.073	 0.120	 0.072	 0.076	 4.30e-03	   2.9	 7.2	 1.71	 13.90	                 	0	0
6118	 98.05802226220	-19.43760636792	2939927246082311808	                                	          	14.12	      	      	      	 2.235	10.82	               	 0.504	5p	 70	9	 0.042	 1.121	 0.073	 0.120	 0.073	 0.061	 5.70e-03	   2.8	 4.1	 1.67	 18.09	                 	0	0
6119	 53.91193046004	+55.19108778437	 445248062600439808	                                	          	14.12	      	      	      	 1.763	 5.17	               	 0.703	5p	 40	9	 0.053	 1.148	 0.073	 0.120	 0.073	 0.074	 2.80e-03	   3.0	13.1	 1.87	  9.65	                 	0	0
6120	139.12776008411	+66.69911469397	1068731800484741888	                                	          	14.12	      	      	      	 2.142	 7.27	               	 0.599	5p	 56	9	 0.040	 1.158	 0.073	 0.120	 0.074	 0.075	 3.90e-04	   3.5	 8.5	 1.77	 12.87	                 	0	0
6121	 84.24816518377	+38.85569617496	 190845639146105088	                                	          	14.12	      	      	      	 1.762	 5.50	               	 0.663	5p	 27	9	 0.046	 1.162	 0.073	 0.120	 0.074	 0.081	 3.80e-03	   2.9	12.9	 1.83	 10.08	                 	0	0
6122	342.79132325834	 +6.15888298769	2711516762109200128	                                	          	14.12	      	      	      	 2.017	 7.31	               	 0.651	5p	 22	9	 0.048	 1.211	 0.073	 0.120	 0.075	 0.093	 8.40e-04	   3.3	11.0	 1.82	 13.31	                 	0	0
6123	 27.40925966187	-23.93012681681	5134385363712479744	                                	          	14.12	      	      	      	 2.313	10.29	               	 0.528	5p	 54	9	 0.027	 1.101	 0.074	 0.120	 0.081	 0.066	 4.90e-03	   2.8	 4.9	 1.70	 17.46	                 	0	0
6124	358.22357418710	 +1.35596405495	2643257534070222464	                                	          	14.12	      	      	      	 1.937	 6.09	               	 0.649	5p	 48	9	 0.035	 1.112	 0.073	 0.120	 0.077	 0.067	 5.80e-03	   2.8	 9.5	 1.82	 11.07	                 	0	0
6125	117.83803619717	-38.84916666764	5538481313136972544	                                	          	14.12	      	      	      	 2.451	 9.36	               	 0.561	5p	 43	9	 0.047	 1.150	 0.075	 0.119	 0.075	 0.073	 3.20e-03	   2.9	 6.1	 1.73	 16.21	                 	0	0
6126	300.13125863334	 +0.67306513571	4237234865307369088	                                	          	14.12	      	      	      	 1.974	 7.20	               	 0.596	5p	 45	9	 0.054	 1.135	 0.073	 0.120	 0.077	 0.074	 1.60e-03	   3.1	 8.4	 1.77	 12.72	                 	0	0
6127	191.19276458414	-18.64433741007	3521926685128601856	                                	          	14.12	      	      	      	 1.655	 5.09	               	 0.690	5p	 68	9	 0.021	 1.091	 0.074	 0.120	 0.077	 0.062	 5.10e-03	   2.8	11.0	 1.86	  9.44	                 	0	0
6128	207.73933053423	-60.25570466479	5867446052520757760	UCAC4 149-138444                	          	14.12	      	 10.33	      	 2.758	 8.69	               	 0.608	5p	143	9	 0.044	 1.105	 0.081	 0.117	 0.078	 0.055	 3.50e-03	   2.9	 5.3	 1.78	 15.46	                 	0	0
6129	186.98926860445	-44.38436926887	6145200110034115456	                                	          	14.12	      	      	      	 1.763	 5.22	               	 0.689	5p	 78	9	 0.024	 1.097	 0.073	 0.120	 0.074	 0.059	 6.40e-03	   2.7	10.1	 1.85	  9.69	                 	0	0
6130	324.86406260518	-20.55695873435	6830278519370287360	                                	          	14.12	      	      	      	 1.951	 7.96	               	 0.548	5p	 39	9	 0.036	 1.163	 0.073	 0.120	 0.078	 0.083	 4.10e-04	   3.5	 8.0	 1.72	 13.68	                 	0	0
6131	308.19713654456	 -3.58525718771	4224749395369133440	                                	          	14.12	      	      	      	 1.680	 5.28	               	 0.646	5p	 65	9	 0.047	 1.130	 0.074	 0.120	 0.076	 0.073	 3.20e-04	   3.6	11.9	 1.82	  9.59	                 	0	0
6132	 64.16623750305	-50.59673515023	4782161349240856064	                                	          	14.12	      	      	      	 2.478	 9.83	               	 0.550	5p	 40	9	 0.136	 1.410	 0.075	 0.119	 0.077	 0.135	 0.00e+00	   7.7	10.6	 1.72	 16.92	                 	0	0
6133	226.17046792172	-28.14364712974	6224610825523634816	                                	          	14.12	      	      	      	 1.935	 6.16	               	 0.659	5p	 20	9	 0.045	 1.199	 0.073	 0.120	 0.072	 0.089	 3.00e-03	   3.0	12.5	 1.83	 11.26	                 	0	0
6134	196.25381065179	-33.87059939918	6179340186591908480	                                	          	14.12	      	      	      	 1.878	 6.50	               	 0.631	5p	 31	9	 0.045	 1.152	 0.073	 0.120	 0.073	 0.076	 5.20e-03	   2.8	 9.9	 1.80	 11.70	                 	0	0
6135	176.70495478383	-74.01418689468	5226656413883017856	                                	          	14.12	      	      	      	 1.804	 6.29	               	 0.590	5p	 37	9	 0.046	 1.128	 0.073	 0.120	 0.078	 0.075	 3.20e-03	   2.9	 9.7	 1.76	 11.08	                 	0	0
6136	180.10055791699	 +0.56278696682	3891167463107655552	LP  614-12                      	          	14.12	      	 11.12	      	 1.916	 7.96	               	 0.543	5p	 34	9	 0.036	 1.132	 0.073	 0.120	 0.076	 0.073	 6.50e-03	   2.7	 7.0	 1.71	 13.63	                 	0	0
6137	 97.22975033780	-35.32518542384	5581520424487904000	                                	          	14.12	      	      	      	 2.221	 9.96	               	 0.527	5p	 49	9	 0.041	 1.184	 0.073	 0.120	 0.076	 0.084	 6.00e-05	   4.0	 6.3	 1.70	 16.90	                 	0	0
6138	 80.02357721673	+60.77487895440	 284555503350840832	                                	          	14.12	      	      	      	 2.506	 9.32	               	 0.562	5p	 57	9	 0.105	 1.264	 0.076	 0.119	 0.073	 0.100	 0.00e+00	   5.5	 8.4	 1.73	 16.16	                 	0	0
6139	 65.55343191075	-10.26841807970	3191452522483033216	                                	          	14.12	      	      	      	 1.956	 6.41	               	 0.627	5p	 43	9	 0.064	 1.148	 0.073	 0.120	 0.074	 0.074	 2.10e-03	   3.1	 9.8	 1.80	 11.52	                 	0	0
6140	254.21237122631	-52.32603723674	5936015514650338560	                                	          	14.12	      	      	      	 2.187	10.50	               	 0.516	5p	 61	9	 0.051	 1.175	 0.073	 0.120	 0.085	 0.093	 0.00e+00	   5.2	 6.5	 1.68	 17.69	                 	0	0
6141	113.78375915471	 +8.32879061252	3143135308635497216	LP  543-2                       	          	14.12	      	 10.89	      	 2.138	 8.86	               	 0.548	5p	 26	9	 0.080	 1.247	 0.073	 0.120	 0.075	 0.102	 4.00e-05	   4.1	 8.9	 1.72	 15.23	                 	0	0
6142	 25.29923786256	-38.55614862654	5010256307732979584	                                	          	14.12	      	      	      	 2.242	10.24	               	 0.516	5p	 93	9	 0.114	 1.322	 0.073	 0.120	 0.078	 0.119	 0.00e+00	9999.0	 8.6	 1.68	 17.25	                 	0	0
6143	  5.09416149014	-50.47048969209	4973803580263549952	                                	          	14.12	      	      	      	 2.090	 8.76	               	 0.549	5p	 79	9	 0.017	 1.090	 0.073	 0.120	 0.078	 0.058	 6.60e-03	   2.7	 5.1	 1.72	 15.06	                 	0	0
6144	161.46910187706	+44.90319454421	 829419521298240256	                                	          	14.12	      	      	      	 2.145	 8.97	               	 0.549	5p	 90	9	 0.038	 1.099	 0.073	 0.120	 0.080	 0.064	 7.70e-04	   3.4	 5.5	 1.72	 15.43	                 	0	0
6145	 99.93546320790	+33.63949146563	 938404694381338496	                                	          	14.12	      	      	      	 1.927	 7.03	               	 0.605	5p	 27	8	 0.069	 1.180	 0.073	 0.120	 0.073	 0.084	 3.20e-03	   3.0	 9.8	 1.78	 12.48	                 	0	0
6146	 99.92957449512	+15.91767863053	3358563687018984448	                                	          	14.12	      	      	      	 1.905	 6.34	               	 0.653	5p	 21	8	 0.068	 1.204	 0.073	 0.120	 0.073	 0.091	 2.40e-03	   3.0	12.4	 1.82	 11.55	                 	0	0
6147	244.42460975342	+58.46170306124	1622397615160475520	                                	          	14.12	      	      	      	 1.764	 5.28	               	 0.676	5p	 38	9	 0.056	 1.133	 0.073	 0.120	 0.078	 0.077	 2.10e-03	   3.1	12.9	 1.84	  9.73	                 	0	0
6148	238.72258061881	+68.04322868713	1646312748978484736	2MASS J15545353+6802337         	          	14.12	      	 10.87	      	 2.164	 7.65	               	 0.599	5p	 34	9	 0.030	 1.133	 0.073	 0.120	 0.078	 0.074	 5.40e-03	   2.8	 7.9	 1.77	 13.55	                 	0	0
6149	172.52755454750	+68.10984026788	1060849607783645312	                                	          	14.12	      	      	      	 1.760	 5.51	               	 0.652	5p	 42	8	 0.000	 1.155	 0.073	 0.120	 0.077	 0.081	 6.90e-04	   3.4	12.7	 1.82	 10.03	                 	0	0
6150	136.76192674932	+34.03110488105	 714174553619506944	                                	          	14.12	      	      	      	 1.709	 5.45	               	 0.671	5p	 48	8	 0.029	 1.110	 0.074	 0.120	 0.078	 0.070	 4.70e-03	   2.8	11.3	 1.84	 10.01	                 	0	0
6151	 16.60880216323	+43.10583991327	 376216943035074944	                                	          	14.12	      	      	      	 2.244	 8.94	               	 0.550	5p	 42	9	 0.077	 1.185	 0.073	 0.120	 0.073	 0.082	 3.80e-04	   3.6	 7.1	 1.72	 15.38	                 	0	0
6152	 47.42589094411	+57.47683556394	 460163143989172992	                                	          	14.12	      	      	      	 2.380	10.09	               	 0.540	5p	 36	9	 0.047	 1.170	 0.074	 0.120	 0.074	 0.079	 2.00e-03	   3.1	 6.0	 1.71	 17.25	                 	0	0
